date,gross_reserves_usd_m,exports_usd_m,imports_usd_m,remittances_usd_m,tourism_usd_m,usd_lkr,m2_usd_m,cse_net_usd_m,trade_balance_usd_m
2020-03-01,7533.736569408685,656.2184495098973,1205.0492034876245,492.0915681614186,95.92877384999998,184.4095,39780.74758098357,-6.394105756532692,-548.8307539777272
2020-04-01,7209.520101152639,282.3103443550165,1122.60696271443,375.0192363972781,0.0,191.3536,39017.28407881932,0.0,-840.2966183594135
2020-05-01,6499.857251537734,586.6872740660409,993.8228128748568,431.75753243500594,0.0,187.5425,40117.91225258185,-36.337742745604274,-407.1355388088159
2020-06-01,6694.648013475818,894.1352989903875,1055.4512879435238,572.4980030213977,0.0,185.8705,40910.887976848724,-46.38245759227247,-161.3159889531363
2020-07-01,7095.831822594811,1085.021074654558,1293.6943139058217,702.08852611799,0.0,185.7377,41551.99642833073,-18.13110110496088,-208.6732392512636
2020-08-01,7430.083006707859,947.2286171577184,1289.0880100856452,664.4567732301396,0.0,184.8529,42511.83438135848,-43.67157340234615,-341.8593929279268
2020-09-01,6666.320938200717,1000.0421286057492,1524.8849953792833,702.6503317634936,0.0,184.9519,43400.852794976585,-41.85937830323985,-524.8428667735341
2020-10-01,5855.74394110227,854.2753709427261,1362.7803874142037,630.7136177195367,0.0,184.3767,44292.26134197239,20.90053753918652,-508.5050164714776
2020-11-01,5555.275602812615,783.6559445593846,1383.7005110189446,611.6708594744056,0.0,184.8094,44719.66433189139,-15.114373162465776,-600.04456645956
2020-12-01,5664.265569350756,964.4508442734063,1526.64703331917,812.7378063911985,0.5282332650000001,186.6329,45521.3860405286,-16.495368014839716,-562.1961890457637
2021-01-01,4841.863004371764,936.6622814854384,1591.5901970507057,675.3390054353866,4.3837293200000005,187.0,45989.40424956808,-44.00300698388188,-654.9279155652673
2021-02-01,4582.993424023525,951.724574048446,1523.603972592037,579.6821699858931,8.77267116,194.01,44874.99545397825,-25.57433985497059,-571.879398543591
2021-03-01,4055.2,1093.7738520883445,1925.9318375289247,612.039426055064,11.939277059999997,199.04,44516.59998891087,-21.36481840454868,-832.1579854405802
2021-04-01,4470.738472224253,818.1842602092861,1706.9720121710045,518.7544137326089,10.86289168,199.54,44826.32240692272,-15.948792751161028,-888.7877519617184
2021-05-01,4032.831217910092,891.7032201204976,1607.4340540931253,460.114150675105,3.90157122,199.5,45196.85318165468,-11.93809272677704,-715.7308339726277
2021-06-01,4060.0459080962846,1007.0147013013268,1659.2043487791664,478.4486578808749,4.206503639999999,201.14,45422.1921186853,-5.724699790179495,-652.1896474778396
2021-07-01,2805.884166609781,1103.9334293875042,1710.0957416175922,453.2632668392378,6.33060554,199.9,46371.09225136638,-40.83494497596533,-606.162312230088
2021-08-01,3543.508985941734,1101.034874644722,1686.6675039530146,446.6176342664486,13.1355504,210.0,44820.95535106536,-15.934678878405236,-585.6326293082925
2021-09-01,2704.1872990039246,1034.4575246293707,1526.032657370234,353.22780133179384,35.30700422,199.99,47247.29764639302,-33.73034693308381,-491.5751327408632
2021-10-01,2269.211946488995,1192.3364394091789,1694.2769255028936,317.38781426512065,59.34714646,201.87,47238.07481352975,-7.068704915995532,-501.9404860937148
2021-11-01,1588.37233054694,1211.4690722829191,1764.628143730678,271.43416537213164,115.44168044,202.05,47070.79998102074,-19.791528233488307,-553.1590714477588
2021-12-01,3139.2264604363068,1156.2853341767309,2240.979740627027,325.155964755842,233.27590756,200.43,48091.130860942074,3.932546640748423,-1084.694406450296
2022-01-01,2361.645210710561,1102.6034670306735,1959.383635296777,259.2224004013944,151.7358399144,201.19,48091.130860942074,36.31403484733201,-856.7801682661034
2022-02-01,2311.250466948733,1093.3378369012546,1872.9492863064163,204.92486303716285,169.40481704100003,201.06,48091.130860942074,48.689636777760136,-779.6114494051617
2022-03-01,1917.0,1058.2320434309793,1818.9123121575751,318.4002148284584,161.2374855,299.0,48091.130860942074,5.470861243674474,-760.6802687265958
2024-01-01,4496.0,970.723959801696,1511.787852753663,487.56912560776783,341.78878040700005,317.41,36071.92076010063,-5.183159028444982,-541.063892951967
2024-02-01,4520.0,1059.318562299895,1378.4196626938108,476.15274509709104,345.70285585000005,310.15,37294.778191406906,41.39148714418296,-319.1011003939159
2024-03-01,4960.0,1148.4812078626312,1507.6996834532686,572.3817390557347,338.3857236795,301.18,38971.66991501334,-13.923469340007806,-359.2184755906373
2024-04-01,5471.0,877.5787392596055,1435.2460605667366,543.8344997214689,225.71594150849995,296.86,39986.4375270921,0.3254744030658898,-557.667321307131
2024-05-01,5410.0,1011.2546937501978,1404.5956093616087,544.4126225033511,153.964862976,301.89,39848.1775542751,-0.5948244742458364,-393.3409156114109
2024-06-01,5654.0,1077.024307218306,1446.621209252268,519.6086007985568,151.079915175,305.71,39650.27563735566,-2.94716590898962,-369.5969020339621
2024-07-01,5652.0,1130.2795584462635,1734.1215798577125,566.8300693319559,328.310191475,302.37,40325.48222252677,11.835862191991213,-603.842021411449
2024-08-01,5959.0,1231.6821030552203,1654.0274199404437,577.4570513490174,282.0869865110001,300.33,40717.35142996504,12.711571913420476,-422.3453168852234
2024-09-01,5994.0,1011.7372962546182,1645.7399723713993,555.5530322870613,180.98790698,299.36,41108.85874150207,-1.9290183573123287,-634.0026761167811
2024-10-01,6472.0,1157.9983404190527,1702.3792187489955,587.6980738774198,185.63142999700003,293.72,42097.72828521697,3.465065011009125,-544.3808783299428
2024-11-01,6451.0,994.1474523394417,1496.2999021514247,530.0627863192664,272.886613506,290.92,42748.987457083625,-10.64400016490725,-502.1524498119831
2024-12-01,6122.0,1101.7669842074342,1924.476764720677,613.823074357784,362.060824032,292.58,42748.987457083625,-1.5520155389379369,-822.7097805132428
2025-01-01,6065.0,1052.790385272612,1785.5256010888788,573.0150835758235,362.060824032,297.58,42763.238364355035,-21.715399723732265,-732.7352158162669
2025-02-01,6086.0,1052.93148785808,1464.2031508791547,548.113782072413,362.060824032,295.5,43404.069089074525,-8.584903111980005,-411.2716630210748
2025-03-01,6531.0,1241.6908589753436,1637.306801181216,693.3103082478191,362.060824032,296.35,44005.10782133916,-5.662833494310919,-395.6159422058725
