date,horizon,ARIMA,MS-VAR,MS-VECM,Naive,VECM,XGBoost
2024-12-01,6,1.3182567385505842e-12,1.3182567385505842e-12,0.9999999999934087,1.3182567385505842e-12,1.3182567385505842e-12,1.3182567385505842e-12
2025-01-01,6,1.3182567385511535e-12,1.3182567385511535e-12,0.9999999999934086,1.3182567385511535e-12,1.3182567385511535e-12,1.3182567385511535e-12
2025-02-01,6,1.5644567832345343e-12,1.3182567385519962e-12,0.9999999999916069,1.834827328207022e-12,1.3182567385519962e-12,2.3573127398673204e-12
2025-03-01,6,2.5256840450294936e-12,1.3182567385505224e-12,0.9999999999857684,3.5000735308959456e-12,1.3182567385505224e-12,5.569433733266299e-12
2025-04-01,6,3.063011969974506e-11,1.1676822813503092e-11,0.9999999997940654,5.076559832709442e-11,1.3182567384956904e-12,1.1154379489188369e-10
2025-05-01,6,3.901999478623803e-11,1.501936056055755e-11,0.9999999997396108,6.434485315102662e-11,1.7330057351501221e-12,1.4027199107978184e-10
2025-06-01,6,4.9587742226089376e-11,1.927014261452769e-11,0.9999999996715113,8.136332269563819e-11,2.272019214688552e-12,1.7599537372336474e-10
2025-07-01,6,6.286668951784524e-11,2.4662442145524524e-11,0.999999999589513,1.0264183062073446e-10,0.0,2.2031610214038496e-10
2025-08-01,6,7.951267887253829e-11,3.148587149647888e-11,0.9999999994846374,1.2918471908239926e-10,0.0,2.7517930974875883e-10
2025-09-01,6,1.0033027939816122e-10,4.0099094102783475e-11,0.9999999993544115,1.6221799663906368e-10,0.0,3.429411652094614e-10
2021-01-01,12,0.2,0.2,0.0,0.2,0.2,0.2
2021-02-01,12,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2021-03-01,12,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2021-04-01,12,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2021-05-01,12,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2021-06-01,12,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2021-07-01,12,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2021-08-01,12,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2021-09-01,12,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2021-10-01,12,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2021-11-01,12,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2021-12-01,12,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2022-01-01,12,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669
2022-02-01,12,0.71390390011178,0.0011149405269641219,0.0,0.23922087788258486,3.174886247378878e-12,0.045760281475496295
